@relation dwt_64_ert

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
31,200.7565,243.01725,218.792688,-258.8865,-216.55275,-235.0585,-853.1525,-806.4975,-822.94125,62.218326,28.96614,11.482123,141.821,175.1465,153.424063,426.3895,461.499,447.83225,36.942195,1
32,200.61025,212.158,204.730188,-229.27225,-217.77375,-221.765375,-856.72,-825.12,-841.21625,71.08898,27.488424,10.978797,142.114,174.8785,161.694438,397.41,454.7145,437.665813,39.561254,1
33,189.2585,215.28325,202.337813,-231.958,-207.154,-219.269125,-868.725,-812.8625,-838.635,66.326616,28.130593,11.625539,142.45575,212.89075,192.236188,389.747,490.60575,461.342563,34.731358,1
34,187.6955,240.08775,204.327438,-254.0285,-205.00475,-220.654375,-853.17,-787.14,-828.025,72.991097,29.049731,11.550123,167.5775,250.683,203.619125,427.786,496.798,461.151375,41.100233,1
35,191.2845,211.035,199.603063,-228.8815,-208.66725,-217.370438,-831.8175,-793.6475,-820.180625,71.332932,27.969482,12.098828,206.64025,249.9025,228.539625,467.531,514.7965,481.068,35.49253,1
36,184.839,214.69775,199.414188,-231.46975,-205.22475,-217.199875,-833.0325,-790.9225,-810.16875,72.747146,25.893411,12.209639,222.24125,286.25375,256.7195,449.60475,518.386,489.71425,33.031627,1
37,180.5665,214.81925,192.877125,-230.664,-197.9245,-209.71675,-842.53,-782.5925,-816.1375,64.76391,26.623803,12.210398,197.94925,272.021,234.0205,387.84025,476.15025,437.591938,35.452874,1
38,175.02425,219.0185,191.241375,-236.353,-192.57825,-208.087375,-823.335,-777.465,-801.110625,59.934371,28.730023,12.174892,225.85425,279.56475,251.232438,425.09875,494.72975,464.491375,35.610541,1
39,169.653,203.44225,184.344438,-221.24075,-185.08275,-201.507688,-823.7275,-766.8,-798.625625,61.079884,28.749972,11.458994,215.3075,276.489,247.344875,422.166,500.416,467.174875,33.945803,1
40,159.42425,183.5205,170.703188,-200.2925,-175.806,-186.883625,-822.195,-789.2825,-806.550625,63.565364,27.273974,11.067208,224.92725,268.579,245.501625,427.49025,482.9845,458.489375,33.576069,1
41,166.13775,196.509,179.773063,-213.721,-184.10575,-196.404875,-809.475,-761.6425,-792.939375,72.892103,27.081576,11.377195,262.3295,307.54275,276.32425,421.67725,500.04625,450.639625,34.748052,1
42,162.549,195.9475,180.57275,-211.572,-177.78275,-196.105813,-812.6,-764.5775,-787.69,71.435463,28.504502,12.055492,250.97625,317.62525,286.779,413.502,478.20125,449.738875,33.815081,1
43,150.879,197.77775,172.46075,-212.427,-165.84525,-187.402625,-823.995,-768.8225,-797.839375,62.426922,27.104287,12.148287,233.59375,309.303,269.433563,407.98125,504.19675,446.684063,34.67457,1
44,162.62225,182.42175,170.489375,-199.65825,-178.58925,-187.390375,-787.475,-752.6875,-772.446875,66.779164,26.548457,12.016228,265.20925,300.6355,288.000063,459.3525,516.969,490.310125,35.484319,1
45,134.497,156.69,141.211,-173.218,-149.0235,-157.196125,-789.0575,-739.675,-765.234375,65.601832,27.291477,11.903102,275.17125,314.3805,297.686438,454.198,507.12775,485.48475,37.920386,1
46,113.452,167.749,151.52575,-181.689,-129.6385,-166.094875,-792.04,-730.715,-763.1475,61.765777,27.824263,11.511528,260.08425,320.19025,288.196,425.1465,501.852,463.561375,37.782968,1
0,247.46125,287.915,270.361375,-304.224,-265.47825,-286.492813,-592.02,-550.2175,-579.5175,68.295908,28.528723,11.423317,282.22675,355.56575,312.445188,258.399,315.28475,275.073438,35.452365,1
1,243.31025,278.95475,263.6595,-293.3105,-261.30375,-279.791313,-568.825,-491.40725,-538.044688,70.402026,25.803786,11.898842,307.17525,378.81125,336.87225,274.58525,344.335,306.220563,33.971448,1
2,243.65225,290.4785,256.823625,-304.36975,-257.42175,-271.56975,-554.978,-487.06075,-520.092688,66.669209,26.312998,11.496986,304.3205,381.83625,333.191313,263.72075,329.4175,291.722875,34.290844,1
3,227.27075,268.652,256.50625,-284.49725,-242.7005,-272.747688,-514.05625,-457.6905,-484.568313,61.115946,27.392385,12.16161,302.34275,371.507,330.680813,294.18825,362.52525,320.757625,37.821905,1
4,239.917,266.3815,249.505563,-282.15375,-255.737,-265.277,-508.745,-450.6085,-473.749438,64.528444,28.93866,11.662504,277.881,337.45225,316.626125,267.38425,349.218,308.947188,41.136341,1
5,218.286,262.06075,244.519063,-277.661,-234.18,-259.35675,-476.15025,-444.31075,-462.055438,57.626374,26.413859,11.450366,262.4035,328.8355,293.8675,274.70725,315.57525,290.332,35.304139,1
6,247.315,291.55225,271.52725,-307.471,-261.05925,-286.21225,-458.0295,-414.52325,-431.877625,61.560716,26.542901,10.580205,268.92025,325.58575,293.6215,251.44225,316.13675,285.516313,39.005758,1
