@relation Sub1_A_32_ERT

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute class {0,1}

@data
3.624788000000000121e+00,3.538336000000000148e+00,-3.721841079999999806e+02,-1.654966510000000142e+02,8.009097699999999520e+01,5.119617099999999965e+01,5.507469100000000140e+01,-3.194235799999999870e+01,2.356111699999999942e+01,-2.436857799999999941e+01,2.196853399999999823e+01,1.116422299999999979e+01,1
2.673197000000000045e+00,2.901813999999999893e+00,-5.293534610000000384e+02,2.071252799999999894e+01,1.962875510000000077e+02,1.240174439999999976e+02,7.002426099999999565e+01,-2.948498599999999925e+01,2.640547600000000017e+01,-4.466481100000000026e+01,2.842466999999999899e+01,1.936305600000000027e+01,1
2.387611000000000150e+00,3.826821999999999946e+00,-2.858869980000000055e+02,-1.388298479999999984e+02,6.010963399999999979e+01,5.266324199999999678e+01,4.949649500000000302e+01,-3.600483799999999945e+01,3.400470399999999671e+01,-3.060351400000000055e+01,1.668826800000000077e+01,1.499222100000000069e+01,1
2.892136999999999958e+00,4.649343000000000004e+00,-3.527988829999999894e+02,-2.929174170000000004e+02,2.218921500000000080e+01,6.490710199999999475e+01,3.724205200000000104e+01,-4.041151200000000188e+01,3.081062299999999965e+01,-2.688088499999999925e+01,2.460453800000000157e+01,1.152990899999999996e+01,1
2.565592999999999790e+00,4.329695000000000071e+00,-3.657230119999999829e+02,1.898464889999999912e+02,2.278501390000000129e+02,5.482509900000000158e+01,3.491069999999999851e+01,-9.463821500000000242e+01,4.097039000000000186e+01,-3.872914699999999755e+01,1.979973599999999934e+01,1.660480400000000145e+01,1
2.570110999999999812e+00,2.621888000000000218e+00,-1.625839939999999899e+02,-1.061821600000000032e+01,6.022422100000000000e+01,1.257131619999999970e+02,6.664215299999999331e+01,-3.475088499999999669e+01,3.793471000000000259e+01,-1.830991799999999969e+01,2.444765800000000056e+01,1.476190099999999994e+01,1
3.020211000000000201e+00,2.783101999999999965e+00,-1.555722849999999937e+02,9.221447200000000066e+01,9.530531299999999817e+01,9.445587899999999593e+01,3.519250199999999751e+01,-5.340512799999999771e+01,4.251270099999999985e+01,-4.153180100000000152e+01,5.430669499999999772e+01,2.549610900000000058e+01,1
3.794550000000000090e+00,4.214521999999999657e+00,-2.768713710000000106e+02,-2.088388410000000022e+02,3.171346899999999991e+01,7.613296099999999456e+01,7.058690500000000156e+01,-6.514759300000000053e+01,4.383245800000000258e+01,-2.376604499999999831e+01,2.083012599999999992e+01,1.255376399999999926e+01,1
4.065152000000000321e+00,5.690000999999999642e+00,-8.310194900000000473e+01,2.129992660000000058e+02,1.142734899999999953e+02,3.334033199999999653e+01,8.267731000000000563e+01,-8.532376100000000463e+01,3.715588699999999989e+01,-3.732262599999999964e+01,3.279225199999999774e+01,1.679265099999999933e+01,1
2.518323000000000089e+00,2.953362999999999960e+00,6.111502819999999474e+02,8.005055800000000090e+02,7.787945399999999552e+01,3.416147000000000133e+01,4.361529500000000326e+01,-6.385007499999999681e+01,3.680897900000000078e+01,-4.007067099999999726e+01,1.858790799999999876e+01,1.551142699999999941e+01,1
