@relation Sub1_B_64_ERT

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute class {0,1}

@data
1.111194999999999933e+00,7.887786000000000186e+00,5.504936999999999969e+00,1.234846100000000035e+01,1.033765200000000029e+01,2.364469199999999915e+01,4.458566000000000251e+00,-3.768658999999999981e+00,4.313123000000000040e+00,2.108865999999999907e+00,5.503563999999999901e+00,1.868095100000000031e+01,4.670423999999999687e+00,1.890473000000000070e+00,-2.647886999999999880e+00,7.220240999999999687e+00,-3.576192999999999955e+00,8.665882999999999114e+00,4.478993000000000002e+00,2.130093000000000014e+00,-5.689148999999999567e+00,1.734081999999999901e+00,-2.539107000000000003e+00,0
1.751381800000000055e+01,5.346066000000000429e+00,1.032656300000000016e+01,1.757818500000000128e+01,1.536533299999999969e+01,3.317835800000000290e+01,2.220956000000000152e+00,-2.502498999999999807e+00,4.587058999999999997e+00,1.818117999999999901e+00,1.557959400000000016e+01,2.744520999999999944e+01,5.271041999999999561e+00,5.377734000000000236e+00,-2.604525999999999897e+00,5.805763999999999925e+00,5.207556000000000296e+00,2.021084499999999906e+01,6.772772999999999932e+00,1.289857899999999979e+01,2.162770000000000081e+00,1.432092399999999977e+01,7.546979000000000326e+00,0
-1.681691700000000012e+01,7.788196000000000119e+00,4.214856000000000158e+00,1.552774900000000002e+01,8.919788999999999746e+00,1.645685999999999893e+01,1.851752000000000065e+00,-3.540004000000000151e+00,4.069226999999999705e+00,2.600931999999999800e+00,1.789460999999999968e+00,6.841846000000000316e+00,2.028036000000000172e+00,1.000900299999999987e+01,-7.850052999999999948e+00,2.718189999999999884e+00,2.942200000000000149e+00,2.121518999999999977e+01,7.358539999999999637e+00,9.168691000000000813e+00,-5.839008999999999894e+00,5.491357999999999961e+00,-7.177259999999999751e-01,0
-6.251134999999999664e+00,6.633943000000000367e+00,-1.415680000000000049e+00,2.584445900000000051e+01,8.124900000000000233e+00,1.524260300000000079e+01,3.120560999999999918e+00,-3.524785000000000057e+00,2.812717000000000134e+00,1.538037000000000099e+00,-1.255964600000000075e+01,1.417159099999999938e+01,9.673064999999999358e+00,1.665021000000000084e+00,-3.727960000000000163e-01,1.034934499999999957e+01,2.220533999999999786e+00,2.437302999999999997e+01,8.478984999999999772e+00,1.192001100000000058e+01,-4.655166999999999611e+00,1.144281499999999951e+01,2.510099999999999998e+00,0
-1.374573999999999963e+00,4.152186999999999628e+00,5.903789999999999871e-01,1.746306200000000075e+01,9.326745000000000729e+00,1.123275699999999944e+01,4.067295999999999800e+00,-3.012599999999999945e+00,3.523749000000000020e+00,1.715500000000000025e+00,-5.109402000000000221e+00,4.384458999999999662e+00,3.950772999999999868e+00,3.332624000000000031e+00,-5.344375000000000320e+00,8.573491999999999891e+00,-1.908765000000000045e+00,1.650675000000000026e+01,7.680549000000000071e+00,7.988310000000000244e+00,-1.920640000000000125e-01,1.104971800000000037e+01,6.240738999999999592e+00,0
-4.642312999999999690e+00,3.218999000000000166e+00,-1.718163600000000102e+01,-4.641373999999999889e+00,-9.754765000000000796e+00,-1.493013400000000068e+01,3.983236000000000221e+00,-4.316899000000000264e+00,4.051810999999999829e+00,2.111580000000000013e+00,-8.956936100000000067e+01,-4.750454700000000230e+01,1.519869300000000045e+01,5.099382000000000303e+00,-5.829030999999999629e+00,5.863256999999999941e+00,-1.112848999999999933e+01,-4.169836000000000098e+00,2.715683999999999987e+00,-7.208147000000000304e+00,-8.356068000000000495e+00,3.684450000000000225e-01,-4.641923000000000243e+00,0
-3.043037899999999851e+01,1.154267499999999913e+01,-3.460808300000000060e+01,-8.089876000000000289e+00,-1.600434299999999865e+01,-2.079425700000000177e+01,3.346404000000000156e+00,-1.032694000000000001e+00,3.529046999999999823e+00,1.212944999999999940e+00,-9.561329999999999529e+01,-7.624014800000000491e+01,7.951478999999999964e+00,6.202525999999999762e+00,-3.629964999999999886e+00,6.964476999999999585e+00,-4.255313400000000001e+01,-1.870030000000000081e+00,1.710436400000000035e+01,-1.305878099999999975e+01,-1.416707300000000025e+01,4.048178000000000054e+00,-2.336908000000000207e+00,0
-2.876038000000000139e+01,8.025318999999999647e+00,-3.304989100000000235e+01,-1.434790500000000080e+01,-2.529909699999999972e+01,-2.564534899999999951e+01,4.292720000000000091e+00,-5.107122999999999635e+00,5.302546000000000426e+00,2.498387999999999831e+00,-9.508112199999999348e+01,-7.724941400000000158e+01,6.964343999999999646e+00,3.750906000000000073e+00,-3.618901999999999841e+00,6.372607000000000355e+00,-3.681732099999999974e+01,-1.725628400000000084e+01,7.394194999999999851e+00,-2.828564199999999929e+01,-1.791715999999999909e+01,-5.650741000000000014e+00,-1.391076299999999932e+01,0
-2.525902299999999912e+01,4.017851000000000283e+00,-1.802355199999999869e+01,-7.983990999999999616e+00,-1.186249899999999968e+01,-4.196263600000000338e+01,4.010152999999999857e+00,-4.840086000000000332e+00,9.325716999999999146e+00,3.455538000000000221e+00,-6.885857799999999429e+01,-3.598297500000000326e+01,1.274516599999999933e+01,2.105015999999999998e+00,-5.145494000000000234e+00,5.529434000000000182e+00,-2.953938399999999831e+01,2.611860000000000070e+00,1.168908300000000011e+01,-1.243450699999999998e+01,-1.876704600000000056e+01,-5.825505999999999851e+00,-1.412278899999999915e+01,0
-1.908888699999999972e+01,4.214968999999999966e+00,-2.825035700000000105e+01,-1.303118800000000022e+01,-2.034601899999999830e+01,-3.623856399999999667e+01,3.691427000000000014e+00,-4.609272999999999954e+00,5.270953000000000443e+00,2.274469999999999992e+00,-4.822015300000000337e+01,-3.379013599999999684e+01,5.431034000000000361e+00,2.930321000000000176e+00,-5.120397999999999783e+00,8.666401999999999717e+00,-2.385208899999999943e+01,-5.059847000000000428e+00,7.140052999999999983e+00,-1.670265799999999956e+01,-1.279201499999999925e+01,-2.859608000000000150e+00,-9.123253000000000057e+00,0
-1.678178099999999873e+01,1.174329700000000010e+01,-1.605832600000000099e+01,4.156940999999999775e+00,-9.221512999999999849e+00,1.221387000000000000e+00,4.446784000000000070e+00,-5.310080000000000133e+00,3.303141000000000105e+00,2.286710999999999938e+00,-2.376616500000000087e+01,6.991353000000000151e+00,1.252635000000000076e+01,3.028341000000000172e+00,-6.000625000000000320e+00,1.195254000000000039e+00,-1.765346399999999960e+01,1.940149999999999930e-01,6.692853000000000385e+00,-9.639532000000000878e+00,-1.048521099999999961e+01,-3.225252999999999926e+00,-6.390616999999999770e+00,0
7.441006999999999927e+00,5.914215000000000444e+00,4.523918000000000106e+00,1.470965900000000026e+01,8.350562999999999292e+00,1.424105699999999963e+01,4.017547000000000423e+00,-4.798392999999999908e+00,6.580832000000000015e+00,2.661490999999999829e+00,5.344852999999999632e+00,1.597043000000000035e+01,4.057229000000000418e+00,5.339996000000000187e+00,-4.791564000000000156e+00,3.033371999999999957e+00,-4.049727999999999994e+00,1.228465300000000049e+01,6.354663999999999646e+00,6.753506999999999927e+00,-2.812958000000000069e+00,5.864849000000000423e+00,1.867312000000000083e+00,0
-1.293865699999999919e+01,1.000850600000000057e+01,-9.620390000000000441e+00,1.611095500000000058e+01,3.536033000000000204e+00,1.515064100000000025e+01,3.819301999999999975e+00,-4.557928999999999675e+00,3.820037999999999823e+00,2.282925999999999789e+00,1.361768600000000085e+01,3.642531999999999925e+01,8.314889000000000863e+00,6.968437999999999910e+00,-7.089659000000000155e+00,9.202362000000000819e+00,1.936017000000000099e+00,2.611014700000000133e+01,9.819651999999999603e+00,1.520779899999999962e+01,5.548186000000000284e+00,2.433856600000000014e+01,1.584181799999999996e+01,0
-5.517778999999999989e+00,8.184369999999999479e+00,-4.324399999999999800e+00,1.773338599999999943e+01,7.849223000000000283e+00,4.105028899999999936e+01,1.932946000000000053e+00,-4.782873000000000374e+00,3.837231000000000058e+00,2.208711999999999787e+00,8.538605999999999696e+00,3.272614599999999996e+01,1.017420399999999958e+01,2.584600000000000009e+00,-4.637463000000000335e+00,4.375049999999999883e+00,-1.125388799999999989e+01,2.038174400000000119e+01,1.174639900000000026e+01,8.006809999999999761e+00,-1.635985999999999940e+00,1.618064000000000036e+01,1.063963000000000036e+01,0
5.755696000000000367e+00,3.131368000000000151e+00,-3.221391000000000115e+00,1.292109699999999961e+01,4.650014999999999787e+00,2.972348500000000016e+01,2.311625999999999959e+00,-4.772670999999999886e+00,5.108018999999999643e+00,2.454854000000000092e+00,2.598637000000000086e+01,3.310035599999999789e+01,2.700034000000000045e+00,6.260563999999999574e+00,-4.273957000000000228e+00,4.197173000000000265e+00,4.867129000000000261e+00,1.208467100000000016e+01,2.740439999999999987e+00,8.922553000000000623e+00,6.092490999999999879e+00,1.153586600000000040e+01,9.322991000000000028e+00,0
2.497956900000000147e+01,3.903357000000000188e+00,8.205615999999999133e+00,1.512618600000000058e+01,1.140887000000000029e+01,2.705007799999999918e+01,3.270481000000000193e+00,-4.535150999999999932e+00,5.845807999999999893e+00,2.853279000000000121e+00,3.507288700000000148e+01,5.529808299999999832e+01,7.989819999999999922e+00,9.561479000000000283e+00,-1.009728699999999968e+01,2.805998999999999910e+00,7.278712999999999766e+00,2.534692300000000031e+01,8.803392999999999802e+00,1.637891300000000072e+01,1.343909999999999982e+01,1.711408300000000082e+01,1.496701200000000043e+01,0
